ID,RA_DMS,DEC_DMS,SEMI_MAJ_PC,SEMI_MIN_PC,AVG_RAD_PC,PA_DEG,ARM,DIST_ARM_PC,GAL_RAD_KPC,RA_DEG,DEC_DEG,SEMI_MAJ_ARCSEC,SEMI_MIN_ARCSEC
48,24d09m12.8s,15d48m5.3s,26,26,26,0,3,-2,4.54,24.153555555555553,15.801472222222223,0.5450086343927342,0.5450086343927342
49,24d09m13.2s,15d48m15.7s,27,27,27,0,3,30,4.88,24.153666666666666,15.804361111111112,0.565970504946301,0.565970504946301
50,24d09m13.2s,15d48m15.1s,38,33,37,0,3,29,4.86,24.153666666666666,15.804194444444445,0.7965510810355346,0.6917417282677011
51,24d09m13.7s,15d48m7.6s,25,25,25,0,3,-2,4.59,24.153805555555554,15.802111111111111,0.5240467638391675,0.5240467638391675
52,24d09m13.9s,15d47m14.6s,22,21,22,-90,3,-3,3.37,24.15386111111111,15.78738888888889,0.4611611521784674,0.44019928162490074
53,24d09m14.0s,15d48m2.5s,36,36,36,0,3,-17,4.41,24.153888888888886,15.800694444444446,0.7546273399284013,0.7546273399284013
54,24d09m14.3s,15d48m6.2s,68,68,68,0,3,-10,4.52,24.153972222222222,15.801722222222223,1.4254071976425358,1.4254071976425358
55,24d09m14.4s,15d48m14.9s,22,21,22,0,3,19,4.81,24.154,15.80413888888889,0.4611611521784674,0.44019928162490074
56,24d09m14.7s,15d48m8.5s,43,40,42,-90,3,-7,4.59,24.154083333333332,15.802361111111113,0.9013604338033682,0.8384748221426681
57,24d09m14.8s,15d47m22.0s,52,52,52,0,3,-24,3.41,24.15411111111111,15.789444444444444,1.0900172687854683,1.0900172687854683
58,24d09m15.0s,15d47m23.8s,35,35,35,0,3,-27,3.43,24.154166666666665,15.789944444444444,0.7336654693748346,0.7336654693748346
59,24d09m15.2s,15d48m9.7s,19,19,19,0,3,-8,4.61,24.15422222222222,15.802694444444445,0.3982755405177673,0.3982755405177673
60,24d09m15.4s,15d48m8.7s,27,27,27,0,3,-11,4.57,24.154277777777775,15.802416666666668,0.565970504946301,0.565970504946301
61,24d09m15.5s,15d48m6.1s,24,24,24,0,3,-19,4.48,24.154305555555553,15.801694444444445,0.5030848932856008,0.5030848932856008
62,24d09m15.7s,15d47m2.5s,16,16,16,0,3,23,3.23,24.15436111111111,15.784027777777778,0.3353899288570672,0.3353899288570672
63,24d09m15.7s,15d48m13.9s,38,38,38,0,3,7,4.73,24.15436111111111,15.803861111111113,0.7965510810355346,0.7965510810355346
64,24d09m15.8s,15d48m4.7s,17,17,17,0,3,-26,4.42,24.15438888888889,15.801305555555556,0.35635179941063394,0.35635179941063394
65,24d09m16.2s,15d48m7.5s,35,35,35,0,3,-23,4.5,24.1545,15.802083333333334,0.7336654693748346,0.7336654693748346
66,24d09m16.3s,15d46m53.3s,33,33,33,0,3,50,3.22,24.154527777777776,15.781472222222224,0.6917417282677011,0.6917417282677011
67,24d09m16.4s,15d47m2.1s,29,29,29,0,3,19,3.19,24.154555555555554,15.783916666666666,0.6078942460534343,0.6078942460534343
68,24d09m16.5s,15d48m6.0s,24,24,24,0,3,-27,4.44,24.15458333333333,15.801666666666668,0.5030848932856008,0.5030848932856008
69,24d09m16.6s,15d48m9.0s,25,25,25,0,3,-20,4.54,24.15461111111111,15.8025,0.5240467638391675,0.5240467638391675
70,24d09m16.7s,15d48m4.9s,26,26,26,0,3,-33,4.4,24.154638888888886,15.801361111111111,0.5450086343927342,0.5450086343927342
71,24d09m17.0s,15d48m11.9s,24,24,24,0,3,-11,4.62,24.154722222222222,15.803305555555557,0.5030848932856008,0.5030848932856008
72,24d09m17.1s,15d47m7.7s,27,19,24,-80,3,-5,3.18,24.15475,15.785472222222221,0.565970504946301,0.3982755405177673
73,24d09m17.3s,15d47m8.9s,88,66,81,0,3,-14,3.17,24.154805555555555,15.785805555555555,1.8446446087138697,1.3834834565354022
74,24d09m17.3s,15d47m3.6s,129,87,115,20,3,7,3.15,24.154805555555555,15.784333333333333,2.7040813014101044,1.8236827381603031
75,24d09m17.4s,15d48m13.1s,41,41,41,0,3,-9,4.66,24.154833333333332,15.803638888888889,0.8594366926962348,0.8594366926962348
76,24d09m17.5s,15d48m5.8s,36,36,36,0,3,-36,4.41,24.15486111111111,15.801611111111113,0.7546273399284013,0.7546273399284013
77,24d09m17.7s,15d47m1.5s,36,36,36,0,3,11,3.13,24.154916666666665,15.78375,0.7546273399284013,0.7546273399284013
78,24d09m18.0s,15d48m3.8s,36,36,36,0,3,-45,4.32,24.154999999999998,15.801055555555557,0.7546273399284013,0.7546273399284013
79,24d09m18.0s,15d47m10.8s,54,33,47,30,3,-26,3.15,24.154999999999998,15.786333333333333,1.131941009892602,0.6917417282677011
80,24d09m18.2s,15d48m11.8s,26,26,26,0,3,-20,4.59,24.155055555555553,15.803277777777778,0.5450086343927342,0.5450086343927342
81,24d09m18.2s,15d47m60.0s,36,36,36,0,3,-54,4.19,24.155055555555553,15.8,0.7546273399284013,0.7546273399284013
82,24d09m18.2s,15d47m6.2s,19,15,18,0,3,-7,3.12,24.155055555555553,15.785055555555555,0.3982755405177673,0.3144280583035005
83,24d09m18.4s,15d47m14.8s,28,17,24,-60,3,-41,3.17,24.15511111111111,15.787444444444445,0.5869323754998677,0.35635179941063394
84,24d09m18.5s,15d47m11.7s,19,17,18,-90,3,-32,3.14,24.15513888888889,15.786583333333333,0.3982755405177673,0.35635179941063394
85,24d09m18.5s,15d48m7.4s,26,26,26,0,3,-40,4.42,24.15513888888889,15.802055555555556,0.5450086343927342,0.5450086343927342
86,24d09m18.5s,15d47m7.5s,17,7,14,-80,3,-16,3.11,24.15513888888889,15.785416666666666,0.35635179941063394,0.1467330938749669
87,24d09m18.8s,15d48m4.9s,37,37,37,0,3,-50,4.33,24.15522222222222,15.801361111111111,0.7755892104819679,0.7755892104819679
88,24d09m18.9s,15d48m17.6s,27,26,27,-90,3,-6,4.77,24.15525,15.80488888888889,0.565970504946301,0.5450086343927342
89,24d09m19.0s,15d47m3.4s,21,21,21,0,3,6,3.07,24.155277777777776,15.784277777777778,0.44019928162490074,0.44019928162490074
90,24d09m19.3s,15d47m5.6s,17,13,15,20,3,-15,3.06,24.15536111111111,15.784888888888888,0.35635179941063394,0.2725043171963671
91,24d09m19.5s,15d48m7.4s,22,22,22,0,3,-48,4.39,24.155416666666664,15.802055555555556,0.4611611521784674,0.4611611521784674
92,24d09m19.8s,15d47m5.4s,17,13,15,0,3,-17,3.04,24.1555,15.784833333333333,0.35635179941063394,0.2725043171963671
93,24d09m19.9s,15d47m7.0s,80,63,74,30,3,-24,3.04,24.155527777777777,15.785277777777777,1.6769496442853362,1.3205978448747022
94,24d09m19.9s,15d46m46.4s,43,43,43,0,3,62,3.11,24.155527777777777,15.779555555555556,0.9013604338033682,0.9013604338033682
95,24d09m20.0s,15d47m4.1s,30,30,30,0,3,-15,3.03,24.155555555555555,15.784472222222222,0.628856116607001,0.628856116607001
96,24d09m20.2s,15d48m18.5s,14,14,14,0,3,-11,4.77,24.15561111111111,15.805138888888889,0.2934661877499338,0.2934661877499338
97,24d09m20.6s,15d47m1.5s,19,18,19,0,3,-11,3.0,24.15572222222222,15.78375,0.3982755405177673,0.3773136699642006
98,24d09m20.8s,15d48m1.4s,260,187,236,70,3,-74,4.15,24.155777777777775,15.80038888888889,5.450086343927342,3.9198697935169733
99,24d09m20.9s,15d46m59.2s,181,120,161,-25,3,-3,2.99,24.155805555555553,15.783111111111111,3.794098570195573,2.515424466428004
100,24d09m21.0s,15d47m5.3s,34,19,29,-20,3,-25,2.99,24.15583333333333,15.784805555555556,0.7127035988212679,0.3982755405177673
101,24d09m21.1s,15d48m13.5s,20,20,20,0,3,-39,4.56,24.15586111111111,15.80375,0.41923741107133405,0.41923741107133405
102,24d09m21.2s,15d47m7.0s,20,20,20,0,3,-34,2.98,24.15588888888889,15.785277777777777,0.41923741107133405,0.41923741107133405
103,24d09m21.2s,15d47m2.0s,15,11,14,-90,3,-18,2.97,24.15588888888889,15.783888888888889,0.3144280583035005,0.2305805760892337
104,24d09m21.6s,15d47m6.4s,10,7,9,60,3,-35,2.96,24.156,15.78511111111111,0.20961870553566703,0.1467330938749669
105,24d09m21.6s,15d47m4.3s,25,25,25,0,3,-26,2.96,24.156,15.784527777777777,0.5240467638391675,0.5240467638391675
106,24d09m21.9s,15d47m6.6s,13,9,11,60,3,-38,2.95,24.15608333333333,15.785166666666667,0.2725043171963671,0.1886568349821003
107,24d09m22.3s,15d48m4.8s,31,30,31,-90,3,-78,4.22,24.15619444444444,15.801333333333334,0.6498179871605677,0.628856116607001
108,24d09m22.5s,15d47m7.0s,29,22,26,30,3,-44,2.93,24.15625,15.785277777777777,0.6078942460534343,0.4611611521784674
109,24d09m22.6s,15d47m3.6s,20,19,20,-90,3,-32,2.91,24.156277777777778,15.784333333333333,0.41923741107133405,0.3982755405177673
110,24d09m22.7s,15d47m12.0s,230,171,211,50,3,-68,2.95,24.156305555555555,15.786666666666667,4.821230227320341,3.584479864659906
111,24d09m22.8s,15d47m2.7s,26,24,25,-90,3,-33,2.9,24.156333333333333,15.784083333333333,0.5450086343927342,0.5030848932856008
112,24d09m22.8s,15d47m5.1s,53,44,50,20,3,-39,2.9,24.156333333333333,15.78475,1.1109791393390354,0.9223223043569349
113,24d09m23.5s,15d47m5.7s,17,14,16,40,3,-47,2.87,24.156527777777775,15.784916666666666,0.35635179941063394,0.2934661877499338
114,24d09m23.6s,15d48m22.3s,42,42,42,0,3,-23,4.81,24.156555555555553,15.806194444444445,0.8803985632498015,0.8803985632498015
115,24d09m23.9s,15d48m12.5s,27,27,27,0,3,-64,4.44,24.15663888888889,15.803472222222222,0.565970504946301,0.565970504946301
116,24d09m24.1s,15d46m52.4s,73,73,73,0,3,-16,2.87,24.156694444444444,15.781222222222222,1.5302165504103693,1.5302165504103693
117,24d09m24.1s,15d46m58.7s,23,16,21,40,3,-24,2.84,24.156694444444444,15.782972222222224,0.4821230227320341,0.3353899288570672
118,24d09m24.3s,15d46m58.1s,12,11,12,-90,3,-22,2.83,24.15675,15.782805555555557,0.2515424466428004,0.2305805760892337
119,24d09m24.4s,15d46m59.4s,10,9,10,-90,3,-30,2.83,24.156777777777776,15.783166666666668,0.20961870553566703,0.1886568349821003
120,24d09m24.4s,15d47m7.0s,62,42,56,0,3,-59,2.84,24.156777777777776,15.785277777777777,1.2996359743211354,0.8803985632498015
121,24d09m24.6s,15d47m3.4s,19,18,19,-90,3,-48,2.82,24.15683333333333,15.784277777777778,0.3982755405177673,0.3773136699642006
122,24d09m24.9s,15d46m59.4s,9,9,9,0,3,-33,2.8,24.156916666666664,15.783166666666668,0.1886568349821003,0.1886568349821003
123,24d09m24.9s,15d46m59.7s,8,8,8,0,3,-35,2.8,24.156916666666664,15.78325,0.1676949644285336,0.1676949644285336
124,24d09m24.9s,15d47m0.6s,27,27,27,-90,3,-40,2.8,24.156916666666664,15.7835,0.565970504946301,0.565970504946301
125,24d09m25.0s,15d46m58.9s,11,9,10,-90,3,-32,2.8,24.15694444444444,15.783027777777779,0.2305805760892337,0.1886568349821003
126,24d09m25.1s,15d47m2.5s,21,15,19,-60,3,-49,2.79,24.156972222222223,15.784027777777778,0.44019928162490074,0.3144280583035005
127,24d09m25.2s,15d47m4.7s,25,25,25,0,3,-56,2.79,24.157,15.784638888888889,0.5240467638391675,0.5240467638391675
128,24d09m25.3s,15d47m14.9s,26,26,26,-90,3,-98,2.86,24.157027777777778,15.787472222222222,0.5450086343927342,0.5450086343927342
129,24d09m25.5s,15d48m23.1s,26,26,26,0,3,-33,4.8,24.157083333333333,15.806416666666667,0.5450086343927342,0.5450086343927342
130,24d09m25.5s,15d47m14.0s,18,18,18,-90,3,-96,2.84,24.157083333333333,15.787222222222223,0.3773136699642006,0.3773136699642006
131,24d09m25.7s,15d46m59.4s,12,11,11,-90,3,-39,2.77,24.157138888888888,15.783166666666668,0.2515424466428004,0.2305805760892337
132,24d09m26.1s,15d47m0.2s,9,9,9,0,3,-46,2.75,24.157249999999998,15.783388888888888,0.1886568349821003,0.1886568349821003
133,24d09m26.1s,15d47m6.9s,25,24,24,-90,3,-72,2.76,24.157249999999998,15.78525,0.5240467638391675,0.5030848932856008
134,24d09m26.2s,15d46m59.4s,9,8,9,-90,3,-41,2.74,24.157277777777775,15.783166666666668,0.1886568349821003,0.1676949644285336
135,24d09m26.2s,15d48m29.9s,20,20,20,0,3,-10,5.05,24.157277777777775,15.808305555555556,0.41923741107133405,0.41923741107133405
136,24d09m26.3s,15d48m22.1s,15,15,15,0,3,-45,4.73,24.157305555555553,15.80613888888889,0.3144280583035005,0.3144280583035005
137,24d09m26.4s,15d47m16.4s,47,37,44,0,3,-110,2.83,24.15733333333333,15.787888888888888,0.9852079160176349,0.7755892104819679
138,24d09m26.4s,15d47m12.2s,15,14,14,0,3,-96,2.78,24.15733333333333,15.786722222222222,0.3144280583035005,0.2934661877499338
139,24d09m26.4s,15d47m0.0s,11,11,11,0,3,-47,2.73,24.15733333333333,15.783333333333333,0.2305805760892337,0.2305805760892337
140,24d09m26.5s,15d47m1.6s,99,57,85,40,3,-56,2.73,24.15736111111111,15.783777777777777,2.075225184803103,1.194826621553302
141,24d09m26.5s,15d47m0.4s,10,9,10,20,3,-50,2.73,24.15736111111111,15.783444444444445,0.20961870553566703,0.1886568349821003
142,24d09m26.6s,15d47m13.5s,24,23,24,-90,3,-103,2.78,24.15738888888889,15.787083333333333,0.5030848932856008,0.4821230227320341
143,24d09m26.6s,15d48m18.4s,31,29,30,0,3,-65,4.58,24.15738888888889,15.805111111111112,0.6498179871605677,0.6078942460534343
144,24d09m26.7s,15d48m22.9s,21,21,21,0,3,-42,4.75,24.157416666666666,15.806361111111112,0.44019928162490074,0.44019928162490074
145,24d09m26.8s,15d46m59.2s,8,8,8,-90,3,-44,2.71,24.157444444444444,15.783111111111111,0.1676949644285336,0.1676949644285336
146,24d09m27.0s,15d46m59.6s,10,9,10,0,3,-48,2.71,24.1575,15.783222222222223,0.20961870553566703,0.1886568349821003
147,24d09m27.1s,15d46m58.3s,39,39,39,0,3,-41,2.7,24.157527777777776,15.782861111111112,0.8175129515891013,0.8175129515891013
148,24d09m27.2s,15d48m23.2s,29,29,29,0,3,-44,4.76,24.157555555555554,15.806444444444445,0.6078942460534343,0.6078942460534343
149,24d09m27.2s,15d48m25.5s,29,29,29,0,3,-35,4.84,24.157555555555554,15.807083333333335,0.6078942460534343,0.6078942460534343
150,24d09m27.4s,15d47m10.5s,34,33,33,0,3,-96,2.72,24.15761111111111,15.786249999999999,0.7127035988212679,0.6917417282677011
151,24d09m27.6s,15d47m11.6s,17,16,17,-90,3,-102,2.72,24.157666666666664,15.786555555555555,0.35635179941063394,0.3353899288570672
152,24d09m27.7s,15d47m12.6s,24,22,23,-90,3,-107,2.73,24.15769444444444,15.786833333333334,0.5030848932856008,0.4611611521784674
153,24d09m27.8s,15d47m8.0s,24,23,24,0,3,-89,2.69,24.157722222222223,15.785555555555556,0.5030848932856008,0.4821230227320341
154,24d09m27.8s,15d48m16.1s,19,19,19,0,3,-81,4.46,24.157722222222223,15.804472222222223,0.3982755405177673,0.3982755405177673
155,24d09m28.1s,15d46m53.9s,41,40,41,-90,3,-45,2.68,24.157805555555555,15.78163888888889,0.8594366926962348,0.8384748221426681
156,24d09m28.2s,15d48m24.9s,19,19,19,0,3,-45,4.79,24.157833333333333,15.806916666666668,0.3982755405177673,0.3982755405177673
157,24d09m28.3s,15d48m21.5s,22,22,22,0,3,-61,4.66,24.15786111111111,15.805972222222223,0.4611611521784674,0.4611611521784674
158,24d09m28.5s,15d46m59.8s,28,27,27,-90,3,-59,2.64,24.157916666666665,15.783277777777778,0.5869323754998677,0.565970504946301
159,24d09m28.6s,15d47m2.1s,40,39,40,0,3,-73,2.63,24.157944444444443,15.783916666666666,0.8384748221426681,0.8175129515891013
160,24d09m28.6s,15d48m26.0s,25,25,25,0,3,-43,4.83,24.157944444444443,15.807222222222222,0.5240467638391675,0.5240467638391675
161,24d09m28.6s,15d47m8.9s,24,24,24,0,3,-99,2.66,24.157944444444443,15.785805555555555,0.5030848932856008,0.5030848932856008
162,24d09m28.6s,15d48m28.6s,62,62,62,0,3,-31,4.93,24.157944444444443,15.807944444444445,1.2996359743211354,1.2996359743211354
163,24d09m28.7s,15d47m4.2s,27,27,27,0,3,-84,2.63,24.15797222222222,15.7845,0.565970504946301,0.565970504946301
164,24d09m28.8s,15d47m11.9s,31,26,29,-90,2,103,2.67,24.157999999999998,15.78663888888889,0.6498179871605677,0.5450086343927342
165,24d09m28.9s,15d47m9.8s,18,18,18,-90,3,-105,2.65,24.158027777777775,15.786055555555555,0.3773136699642006,0.3773136699642006
166,24d09m29.4s,15d47m2.2s,21,19,20,-90,3,-79,2.6,24.158166666666666,15.783944444444444,0.44019928162490074,0.3982755405177673
167,24d09m29.4s,15d47m17.9s,38,34,37,-90,2,97,2.72,24.158166666666666,15.788305555555555,0.7965510810355346,0.7127035988212679
168,24d09m29.5s,15d47m9.5s,21,19,20,-90,2,102,2.62,24.158194444444444,15.785972222222222,0.44019928162490074,0.3982755405177673
169,24d09m29.6s,15d46m46.2s,21,21,21,0,3,-89,2.68,24.15822222222222,15.7795,0.44019928162490074,0.44019928162490074
170,24d09m30.0s,15d46m19.0s,30,30,30,0,4,-66,3.26,24.15833333333333,15.771944444444445,0.628856116607001,0.628856116607001
171,24d09m30.5s,15d47m1.9s,29,29,29,0,3,-85,2.54,24.158472222222223,15.783861111111111,0.6078942460534343,0.6078942460534343
172,24d09m30.9s,15d47m3.9s,55,55,55,0,2,98,2.53,24.158583333333333,15.784416666666667,1.1529028804461687,1.1529028804461687
173,24d09m31.3s,15d47m13.0s,23,19,22,-90,2,81,2.57,24.158694444444443,15.786944444444444,0.4821230227320341,0.3982755405177673
174,24d09m31.3s,15d47m17.6s,61,59,60,-90,2,81,2.63,24.158694444444443,15.788222222222222,1.2786741037675688,1.2367503626604355
175,24d09m31.3s,15d48m24.5s,32,32,32,0,3,-70,4.7,24.158694444444443,15.806805555555556,0.6707798577141344,0.6707798577141344
176,24d09m31.4s,15d48m26.1s,26,26,26,0,3,-62,4.76,24.15872222222222,15.807250000000002,0.5450086343927342,0.5450086343927342
177,24d09m31.9s,15d48m34.5s,28,28,28,0,3,-24,5.1,24.15886111111111,15.809583333333334,0.5869323754998677,0.5869323754998677
178,24d09m31.9s,15d47m7.0s,37,37,37,0,2,84,2.49,24.15886111111111,15.785277777777777,0.7755892104819679,0.7755892104819679
179,24d09m32.0s,15d48m32.1s,26,26,26,0,3,-37,4.99,24.15888888888889,15.808916666666667,0.5450086343927342,0.5450086343927342
180,24d09m32.3s,15d47m13.5s,32,32,32,0,2,72,2.53,24.15897222222222,15.787083333333333,0.6707798577141344,0.6707798577141344
181,24d09m32.8s,15d48m24.3s,34,34,34,0,3,-81,4.66,24.15911111111111,15.806750000000001,0.7127035988212679,0.7127035988212679
182,24d09m32.9s,15d47m12.0s,24,23,24,-90,2,68,2.49,24.159138888888886,15.786666666666667,0.5030848932856008,0.4821230227320341
183,24d09m32.9s,15d47m4.4s,18,18,18,0,2,81,2.44,24.159138888888886,15.784555555555555,0.3773136699642006,0.3773136699642006
184,24d09m33.0s,15d48m31.5s,40,40,40,0,3,-46,4.95,24.159166666666664,15.80875,0.8384748221426681,0.8384748221426681
185,24d09m33.1s,15d47m4.0s,16,16,16,0,2,79,2.43,24.15919444444444,15.784444444444444,0.3353899288570672,0.3353899288570672
186,24d09m33.2s,15d48m29.3s,52,52,52,0,3,-60,4.85,24.15922222222222,15.80813888888889,1.0900172687854683,1.0900172687854683
187,24d09m33.3s,15d48m33.6s,16,16,16,0,3,-38,5.03,24.15925,15.809333333333335,0.3353899288570672,0.3353899288570672
188,24d09m33.4s,15d47m19.1s,14,13,14,-90,2,63,2.56,24.159277777777778,15.788638888888888,0.2934661877499338,0.2725043171963671
189,24d09m33.4s,15d47m5.2s,35,35,35,0,2,76,2.42,24.159277777777778,15.784777777777778,0.7336654693748346,0.7336654693748346
190,24d09m33.5s,15d47m2.2s,117,117,117,0,2,78,2.41,24.159305555555555,15.783944444444444,2.452538854767304,2.452538854767304
191,24d09m33.6s,15d46m49.4s,17,16,17,-90,3,-100,2.47,24.159333333333333,15.78038888888889,0.35635179941063394,0.3353899288570672
192,24d09m33.6s,15d47m7.1s,29,29,29,0,2,69,2.42,24.159333333333333,15.785305555555555,0.6078942460534343,0.6078942460534343
193,24d09m33.7s,15d48m33.9s,10,10,10,0,3,-39,5.03,24.15936111111111,15.809416666666667,0.20961870553566703,0.20961870553566703
194,24d09m34.1s,15d47m13.2s,59,59,59,0,2,56,2.45,24.15947222222222,15.786999999999999,1.2367503626604355,1.2367503626604355
195,24d09m34.2s,15d48m33.2s,26,26,26,0,3,-46,4.99,24.159499999999998,15.809222222222223,0.5450086343927342,0.5450086343927342
